"   Channel,  Energy(keV),   Counts"
"     656,     139.3427,        107"
"     657,     139.5614,        112"
"     658,     139.7801,         89"
"     659,     139.9988,         97"
"     660,     140.2175,         91"
"     661,     140.4362,        116"
"     662,     140.6550,        109"
"     663,     140.8737,        110"
"     664,     141.0924,         99"
"     665,     141.3111,        114"
"     666,     141.5298,        103"
"     667,     141.7485,        103"
"     668,     141.9673,        107"
"     669,     142.1860,        114"
"     670,     142.4047,         96"
"     671,     142.6234,        119"
"     672,     142.8421,        105"
"     673,     143.0608,        105"
"     674,     143.2796,        115"
"     675,     143.4983,        123"
"     676,     143.7170,        107"
"     677,     143.9357,        119"
"     678,     144.1544,         83"
"     679,     144.3731,        116"
"     680,     144.5919,         99"
"     681,     144.8106,        105"
"     682,     145.0293,        105"
"     683,     145.2480,        110"
"     684,     145.4667,         94"
"     685,     145.6854,        105"
"     686,     145.9041,        104"
"     687,     146.1229,        115"
"     688,     146.3416,        106"
"     689,     146.5603,        115"
"     690,     146.7790,         96"
"     691,     146.9977,         87"
"     692,     147.2164,         90"
"     693,     147.4352,        107"
"     694,     147.6539,        105"
"     695,     147.8726,         85"
"     696,     148.0913,         92"
"     697,     148.3100,        109"
"     698,     148.5287,         88"
"     699,     148.7475,        104"
"     700,     148.9662,        112"
"     701,     149.1849,         92"
"     702,     149.4036,         94"
"     703,     149.6223,        121"
"     704,     149.8410,         95"
"     705,     150.0597,        104"
"     706,     150.2785,        101"
"     707,     150.4972,        107"
"     708,     150.7159,         91"
"     709,     150.9346,        112"
"     710,     151.1533,        106"
"     711,     151.3720,        102"
"     712,     151.5908,        101"
"     713,     151.8095,         89"
"     714,     152.0282,        105"
"     715,     152.2469,         99"
"     716,     152.4656,        100"
"     717,     152.6843,         89"
"     718,     152.9031,        105"
"     719,     153.1218,         86"
"     720,     153.3405,        101"
"     721,     153.5592,        109"
"     722,     153.7779,        104"
"     723,     153.9966,         90"
"     724,     154.2153,        114"
"     725,     154.4341,         94"
"     726,     154.6528,         98"
"     727,     154.8715,        100"
"     728,     155.0902,         76"
"     729,     155.3089,        107"
"     730,     155.5276,         95"
"     731,     155.7464,        105"
"     732,     155.9651,         96"
"     733,     156.1838,        104"
"     734,     156.4025,        105"
"     735,     156.6212,        118"
"     736,     156.8399,         99"
"     737,     157.0587,        103"
"     738,     157.2774,        100"
"     739,     157.4961,        103"
"     740,     157.7148,         99"
"     741,     157.9335,         94"
"     742,     158.1522,         78"
"     743,     158.3709,        113"
"     744,     158.5897,         95"
"     745,     158.8084,        113"
"     746,     159.0271,        112"
"     747,     159.2458,        109"
"     748,     159.4645,         81"
"     749,     159.6832,         93"
"     750,     159.9020,        108"
"     751,     160.1207,         99"
"     752,     160.3394,        102"
"     753,     160.5581,        103"
"     754,     160.7768,        115"
"     755,     160.9955,         89"
"     756,     161.2143,         95"
"     757,     161.4330,         96"
"     758,     161.6517,         87"
"     759,     161.8704,        112"
"     760,     162.0891,        102"
"     761,     162.3078,        118"
"     762,     162.5265,        105"
"     763,     162.7453,        108"
"     764,     162.9640,         91"
"     765,     163.1827,         91"
"     766,     163.4014,        110"
"     767,     163.6201,         92"
"     768,     163.8388,        116"
"     769,     164.0576,        103"
"     770,     164.2763,         97"
"     771,     164.4950,        114"
"     772,     164.7137,         98"
"     773,     164.9324,        107"
"     774,     165.1511,        108"
"     775,     165.3699,        111"
"     776,     165.5886,         95"
"     777,     165.8073,         96"
"     778,     166.0260,        111"
"     779,     166.2447,         80"
"     780,     166.4634,        103"
"     781,     166.6821,         94"
"     782,     166.9009,        106"
"     783,     167.1196,         95"
"     784,     167.3383,        107"
"     785,     167.5570,        110"
"     786,     167.7757,        103"
"     787,     167.9944,        100"
"     788,     168.2132,        111"
"     789,     168.4319,         79"
"     790,     168.6506,        106"
"     791,     168.8693,        101"
"     792,     169.0880,         91"
"     793,     169.3067,        105"
"     794,     169.5255,         98"
"     795,     169.7442,        106"
"     796,     169.9629,        102"
"     797,     170.1816,         96"
"     798,     170.4003,         98"
"     799,     170.6190,         95"
"     800,     170.8377,         96"
"     801,     171.0565,         97"
"     802,     171.2752,         86"
"     803,     171.4939,         93"
"     804,     171.7126,        104"
"     805,     171.9313,         97"
"     806,     172.1500,        116"
"     807,     172.3688,        103"
"     808,     172.5875,        104"
"     809,     172.8062,        110"
"     810,     173.0249,         91"
"     811,     173.2436,         96"
"     812,     173.4623,         90"
"     813,     173.6811,         95"
"     814,     173.8998,         93"
"     815,     174.1185,        109"
"     816,     174.3372,         93"
"     817,     174.5559,         96"
"     818,     174.7746,         96"
"     819,     174.9933,         89"
"     820,     175.2121,         96"
"     821,     175.4308,        109"
"     822,     175.6495,         93"
"     823,     175.8682,         93"
"     824,     176.0869,        110"
"     825,     176.3056,        103"
"     826,     176.5244,        114"
