Channel,Energy,Counts
     496,     104.3481,         13
     497,     104.5669,         20
     498,     104.7856,         15
     499,     105.0043,         19
     500,     105.2230,         11
     501,     105.4417,         11
     502,     105.6604,         18
     503,     105.8792,         15
     504,     106.0979,          6
     505,     106.3166,         24
     506,     106.5353,         17
     507,     106.7540,         15
     508,     106.9727,          9
     509,     107.1914,         18
     510,     107.4102,         14
     511,     107.6289,         16
     512,     107.8476,          8
     513,     108.0663,         14
     514,     108.2850,         19
     515,     108.5037,         17
     516,     108.7225,         19
     517,     108.9412,          8
     518,     109.1599,         10
     519,     109.3786,         21
     520,     109.5973,         14
     521,     109.8160,         15
     522,     110.0348,         15
     523,     110.2535,         21
     524,     110.4722,         15
     525,     110.6909,         13
     526,     110.9096,         16
     527,     111.1283,         16
     528,     111.3470,         21
     529,     111.5658,         13
     530,     111.7845,         17
     531,     112.0032,         14
     532,     112.2219,         22
     533,     112.4406,         18
     534,     112.6593,         13
     535,     112.8781,         19
     536,     113.0968,         20
     537,     113.3155,         18
     538,     113.5342,         18
     539,     113.7529,         31
     540,     113.9716,         41
     541,     114.1904,         51
     542,     114.4091,         81
     543,     114.6278,        111
     544,     114.8465,        118
     545,     115.0652,        116
     546,     115.2839,         98
     547,     115.5026,         81
     548,     115.7214,         50
     549,     115.9401,         36
     550,     116.1588,         22
     551,     116.3775,         20
     552,     116.5962,         13
     553,     116.8149,         24
     554,     117.0337,         14
     555,     117.2524,         22
     556,     117.4711,         18
     557,     117.6898,          9
     558,     117.9085,         21
     559,     118.1272,         13
     560,     118.3460,         12
     561,     118.5647,         17
     562,     118.7834,         25
     563,     119.0021,         18
     564,     119.2208,         13
     565,     119.4395,         15
     566,     119.6582,         16
     567,     119.8770,         18
     568,     120.0957,         17
     569,     120.3144,         14
     570,     120.5331,         18
     571,     120.7518,         13
     572,     120.9705,         19
     573,     121.1893,         14
     574,     121.4080,         14
     575,     121.6267,         16
     576,     121.8454,         17
     577,     122.0641,          8
     578,     122.2828,         14
     579,     122.5016,         17
     580,     122.7203,         16
     581,     122.9390,         12
     582,     123.1577,         19
     583,     123.3764,         14
     584,     123.5951,         19
     585,     123.8138,         14
     586,     124.0326,         16
     587,     124.2513,         25
     588,     124.4700,         15
     589,     124.6887,          7
     590,     124.9074,         13
     591,     125.1261,         14
     592,     125.3449,          9
     593,     125.5636,         15
     594,     125.7823,         13
     595,     126.0010,         16
     596,     126.2197,          8
     597,     126.4384,         10
     598,     126.6572,         11
     599,     126.8759,         12
     600,     127.0946,         12
     601,     127.3133,         13
     602,     127.5320,         17
     603,     127.7507,         16
     604,     127.9694,         10
     605,     128.1882,         19
     606,     128.4069,         18
     607,     128.6256,         19
     608,     128.8443,         18
     609,     129.0630,         28
     610,     129.2817,         22
     611,     129.5005,         13
     612,     129.7192,         24
     613,     129.9379,         23
     614,     130.1566,         23
     615,     130.3753,         13
     616,     130.5940,         20
     617,     130.8128,         18
     618,     131.0315,         17
     619,     131.2502,         20
     620,     131.4689,         12
     621,     131.6876,         12
     622,     131.9063,         15
     623,     132.1250,         13
     624,     132.3438,         17
     625,     132.5625,         18
     626,     132.7812,          7
     627,     132.9999,         14
     628,     133.2186,         19
     629,     133.4373,         20
     630,     133.6561,         11
     631,     133.8748,         14
     632,     134.0935,         19
     633,     134.3122,         23
     634,     134.5309,         13
     635,     134.7496,         11
     636,     134.9684,         13
     637,     135.1871,         16
     638,     135.4058,         13
     639,     135.6245,         13
     640,     135.8432,         13
     641,     136.0619,          8
     642,     136.2806,         15
     643,     136.4994,         20
     644,     136.7181,         14
     645,     136.9368,         15
     646,     137.1555,         15
     647,     137.3742,         12
     648,     137.5929,         17
     649,     137.8117,         13
     650,     138.0304,         16
     651,     138.2491,         19
     652,     138.4678,         13
     653,     138.6865,         12
     654,     138.9052,         10
     655,     139.1240,         23
     656,     139.3427,         11
     657,     139.5614,         13
     658,     139.7801,         13
     659,     139.9988,         11
     660,     140.2175,         18
     661,     140.4362,         17
     662,     140.6550,         13
     663,     140.8737,         12
     664,     141.0924,          9
     665,     141.3111,         10
     666,     141.5298,         15
     667,     141.7485,         13
     668,     141.9673,         18
     669,     142.1860,         12
     670,     142.4047,         20
     671,     142.6234,         16
