Channel,Energy,Counts
       491,     103.2546,        411  
       492,     103.4733,        406  
       493,     103.6920,        428  
       494,     103.9107,        446  
       495,     104.1294,        418  
       496,     104.3481,        429  
       497,     104.5669,        418  
       498,     104.7856,        427  
       499,     105.0043,        429  
       500,     105.2230,        457  
       501,     105.4417,        398  
       502,     105.6604,        439  
       503,     105.8792,        453  
       504,     106.0979,        458  
       505,     106.3166,        459  
       506,     106.5353,        435  
       507,     106.7540,        425  
       508,     106.9727,        410  
       509,     107.1914,        452  
       510,     107.4102,        417  
       511,     107.6289,        432  
       512,     107.8476,        466  
       513,     108.0663,        463  
       514,     108.2850,        437  
       515,     108.5037,        420  
       516,     108.7225,        426  
       517,     108.9412,        420  
       518,     109.1599,        484  
       519,     109.3786,        479  
       520,     109.5973,        476  
       521,     109.8160,        458  
       522,     110.0348,        412  
       523,     110.2535,        450  
       524,     110.4722,        443  
       525,     110.6909,        431  
       526,     110.9096,        413  
       527,     111.1283,        452  
       528,     111.3470,        435  
       529,     111.5658,        431  
       530,     111.7845,        427  
       531,     112.0032,        480  
       532,     112.2219,        449  
       533,     112.4406,        416  
       534,     112.6593,        457  
       535,     112.8781,        430  
       536,     113.0968,        424  
       537,     113.3155,        426  
       538,     113.5342,        425  
       539,     113.7529,        430  
       540,     113.9716,        469  
       541,     114.1904,        469  
       542,     114.4091,        457  
       543,     114.6278,        422  
       544,     114.8465,        458  
       545,     115.0652,        430  
       546,     115.2839,        480  
       547,     115.5026,        458  
       548,     115.7214,        443  
       549,     115.9401,        443  
       550,     116.1588,        430  
       551,     116.3775,        451  
       552,     116.5962,        434  
       553,     116.8149,        469  
       554,     117.0337,        452  
       555,     117.2524,        421  
       556,     117.4711,        446  
       557,     117.6898,        435  
       558,     117.9085,        436  
       559,     118.1272,        460  
       560,     118.3460,        450  
       561,     118.5647,        452  
       562,     118.7834,        482  
       563,     119.0021,        509  
       564,     119.2208,        433  
       565,     119.4395,        417  
       566,     119.6582,        418  
       567,     119.8770,        464  
       568,     120.0957,        462  
       569,     120.3144,        449  
       570,     120.5331,        465  
       571,     120.7518,        461  
       572,     120.9705,        474  
       573,     121.1893,        445  
       574,     121.4080,        439  
       575,     121.6267,        455  
