Channel,Energy,Counts
      788,     168.2132,         52 
      789,     168.4319,         54 
      790,     168.6506,         40 
      791,     168.8693,         49 
      792,     169.0880,         46 
      793,     169.3067,         39 
      794,     169.5255,         36 
      795,     169.7442,         52 
      796,     169.9629,         49 
      797,     170.1816,         54 
      798,     170.4003,         48 
      799,     170.6190,         39 
      800,     170.8377,         60 
      801,     171.0565,         49 
      802,     171.2752,         48 
      803,     171.4939,         49 
      804,     171.7126,         45 
      805,     171.9313,         52 
      806,     172.1500,         58 
      807,     172.3688,         42 
      808,     172.5875,         48 
      809,     172.8062,         44 
      810,     173.0249,         52 
      811,     173.2436,         50 
      812,     173.4623,         44 
      813,     173.6811,         48 
      814,     173.8998,         45 
      815,     174.1185,         46 
      816,     174.3372,         63 
      817,     174.5559,         49 
      818,     174.7746,         41 
      819,     174.9933,         49 
      820,     175.2121,         38 
      821,     175.4308,         55 
      822,     175.6495,         43 
      823,     175.8682,         54 
      824,     176.0869,         52 
      825,     176.3056,         53 
      826,     176.5244,         46 
      827,     176.7431,         46 
      828,     176.9618,         62 
      829,     177.1805,         46 
      830,     177.3992,         49 
      831,     177.6179,         52 
      832,     177.8367,         40 
      833,     178.0554,         53 
      834,     178.2741,         44 
      835,     178.4928,         43 
      836,     178.7115,         54 
      837,     178.9302,         51 
      838,     179.1489,         52 
      839,     179.3677,         62 
      840,     179.5864,         58 
      841,     179.8051,         41 
      842,     180.0238,         48 
      843,     180.2425,         63 
      844,     180.4612,         49 
      845,     180.6800,         69 
      846,     180.8987,         45 
      847,     181.1174,         54 
      848,     181.3361,         53 
      849,     181.5548,         45 
      850,     181.7735,         62 
      851,     181.9923,         62 
      852,     182.2110,         47 
      853,     182.4297,         59 
      854,     182.6484,         58 
      855,     182.8671,         60 
      856,     183.0858,         56 
      857,     183.3045,         58 
      858,     183.5233,         65 
      859,     183.7420,         39 
      860,     183.9607,         57 
      861,     184.1794,         51 
      862,     184.3981,         53 
      863,     184.6168,         58 
      864,     184.8356,         54 
      865,     185.0543,         45 
      866,     185.2730,         53 
      867,     185.4917,         52 
      868,     185.7104,         52 
      869,     185.9291,         57 
      870,     186.1479,         45 
      871,     186.3666,         49 
      872,     186.5853,         47 
      873,     186.8040,         55 
      874,     187.0227,         65 
      875,     187.2414,         58 
      876,     187.4602,         61 
      877,     187.6789,         56 
      878,     187.8976,         45 
      879,     188.1163,         49 
      880,     188.3350,         47 
      881,     188.5537,         48 
      882,     188.7724,         53 
      883,     188.9912,         67 
      884,     189.2099,         60 
      885,     189.4286,         50 
      886,     189.6473,         58 
      887,     189.8660,         61 
      888,     190.0847,         51 
      889,     190.3035,         64 
      890,     190.5222,         55 
      891,     190.7409,         47 
      892,     190.9596,         59 
      893,     191.1783,         63 
      894,     191.3970,         63 
      895,     191.6158,         63 
      896,     191.8345,         49 
      897,     192.0532,         55 
      898,     192.2719,         58 
      899,     192.4906,         66 
      900,     192.7093,         51 
      901,     192.9280,         43 
      902,     193.1468,         56 
      903,     193.3655,         50 
      904,     193.5842,         66 
      905,     193.8029,         60 
      906,     194.0216,         62 
      907,     194.2403,         65 
      908,     194.4591,         59 
      909,     194.6778,         51 
      910,     194.8965,         56 
      911,     195.1152,         58 
      912,     195.3339,         51 
      913,     195.5526,         50 
      914,     195.7714,         51 
      915,     195.9901,         36 
      916,     196.2088,         57 
      917,     196.4275,         45 
      918,     196.6462,         47 
      919,     196.8649,         71 
      920,     197.0836,         44 
      921,     197.3024,         55 
      922,     197.5211,         52 
      923,     197.7398,         66 
      924,     197.9585,         57 
      925,     198.1772,         67 
      926,     198.3959,         48 
      927,     198.6147,         78 
      928,     198.8334,         46 
