Channel,Energy,Counts
     450,      94.2872,          6
     451,      94.5059,         14
     452,      94.7246,         12
     453,      94.9434,         12
     454,      95.1621,         11
     455,      95.3808,         16
     456,      95.5995,         11
     457,      95.8182,          9
     458,      96.0369,         11
     459,      96.2557,          9
     460,      96.4744,         14
     461,      96.6931,          8
     462,      96.9118,         11
     463,      97.1305,         11
     464,      97.3492,          6
     465,      97.5679,          6
     466,      97.7867,         14
     467,      98.0054,          9
     468,      98.2241,          6
     469,      98.4428,         10
     470,      98.6615,         19
     471,      98.8802,          9
     472,      99.0990,         15
     473,      99.3177,          8
     474,      99.5364,          8
     475,      99.7551,         11
     476,      99.9738,          9
     477,     100.1925,         14
     478,     100.4113,         10
     479,     100.6300,         11
     480,     100.8487,          8
     481,     101.0674,          9
     482,     101.2861,         11
     483,     101.5048,         13
     484,     101.7235,          6
     485,     101.9423,          5
     486,     102.1610,         12
     487,     102.3797,          7
     488,     102.5984,         12
     489,     102.8171,          9
     490,     103.0358,          9
     491,     103.2546,          8
     492,     103.4733,         10
     493,     103.6920,         12
     494,     103.9107,         18
     495,     104.1294,         11
     496,     104.3481,          9
     497,     104.5669,          7
     498,     104.7856,         16
     499,     105.0043,          8
     500,     105.2230,         12
     501,     105.4417,          6
     502,     105.6604,         10
     503,     105.8792,          9
     504,     106.0979,         11
     505,     106.3166,         12
     506,     106.5353,         12
     507,     106.7540,         10
     508,     106.9727,          6
     509,     107.1914,          8
     510,     107.4102,         14
     511,     107.6289,          9
     512,     107.8476,         10
     513,     108.0663,         11
     514,     108.2850,          8
     515,     108.5037,          5
     516,     108.7225,         10
     517,     108.9412,         11
     518,     109.1599,          9
     519,     109.3786,          5
     520,     109.5973,         11
     521,     109.8160,          9
     522,     110.0348,         14
     523,     110.2535,         12
     524,     110.4722,          9
     525,     110.6909,         10
     526,     110.9096,          6
     527,     111.1283,          6
     528,     111.3470,          8
     529,     111.5658,          9
     530,     111.7845,         11
     531,     112.0032,          7
     532,     112.2219,         12
     533,     112.4406,         12
     534,     112.6593,         12
     535,     112.8781,         13
     536,     113.0968,         10
     537,     113.3155,         12
     538,     113.5342,          7
     539,     113.7529,          6
     540,     113.9716,         10
     541,     114.1904,         10
     542,     114.4091,         10
     543,     114.6278,         12
     544,     114.8465,          7
     545,     115.0652,         12
     546,     115.2839,         12
     547,     115.5026,         14
     548,     115.7214,         11
     549,     115.9401,          8
     550,     116.1588,         12
     551,     116.3775,         12
     552,     116.5962,         16
     553,     116.8149,         12
     554,     117.0337,         15
     555,     117.2524,          6
     556,     117.4711,         20
     557,     117.6898,          6
     558,     117.9085,         11
     559,     118.1272,         11
     560,     118.3460,         12
     561,     118.5647,         15
     562,     118.7834,         14
     563,     119.0021,         10
     564,     119.2208,         12
     565,     119.4395,          9
     566,     119.6582,         13
     567,     119.8770,         12
     568,     120.0957,         14
     569,     120.3144,          8
     570,     120.5331,          9
     571,     120.7518,         10
     572,     120.9705,         12
     573,     121.1893,         13
     574,     121.4080,          9
     575,     121.6267,         10
     576,     121.8454,         11
     577,     122.0641,         16
     578,     122.2828,          9
     579,     122.5016,         10
     580,     122.7203,          7
     581,     122.9390,         11
     582,     123.1577,          7
     583,     123.3764,         14
     584,     123.5951,         12
     585,     123.8138,          6
     586,     124.0326,          8
     587,     124.2513,         12
     588,     124.4700,          6
     589,     124.6887,         12
     590,     124.9074,          8
     591,     125.1261,          7
     592,     125.3449,         10
     593,     125.5636,          8
     594,     125.7823,         11
     595,     126.0010,          9
     596,     126.2197,         12
     597,     126.4384,          8
     598,     126.6572,         12
     599,     126.8759,          8
     600,     127.0946,         10
     601,     127.3133,          9
     602,     127.5320,          9
     603,     127.7507,         12
     604,     127.9694,          7
     605,     128.1882,          9
     606,     128.4069,         13
     607,     128.6256,          7
     608,     128.8443,         14
     609,     129.0630,          6
     610,     129.2817,          7
     611,     129.5005,         10
     612,     129.7192,          8
     613,     129.9379,          8
     614,     130.1566,         11
     615,     130.3753,          6
     616,     130.5940,         12
     617,     130.8128,          8
     618,     131.0315,          6
     619,     131.2502,         14
     620,     131.4689,         10
     621,     131.6876,          9
     622,     131.9063,          7
     623,     132.1250,          8
     624,     132.3438,         12
     625,     132.5625,         10
     626,     132.7812,          5
     627,     132.9999,         10
     628,     133.2186,         11
     629,     133.4373,         10
     630,     133.6561,         16
     631,     133.8748,         10
     632,     134.0935,         10
     633,     134.3122,          7
     634,     134.5309,         12
     635,     134.7496,          9
     636,     134.9684,          7
     637,     135.1871,         15
     638,     135.4058,         15
     639,     135.6245,         11
     640,     135.8432,         14
     641,     136.0619,         21
     642,     136.2806,          5
     643,     136.4994,         15
     644,     136.7181,         10
     645,     136.9368,         10
     646,     137.1555,         12
     647,     137.3742,         11
     648,     137.5929,          6
     649,     137.8117,         12
     650,     138.0304,          6
     651,     138.2491,         18
     652,     138.4678,         13
     653,     138.6865,         19
     654,     138.9052,         10
     655,     139.1240,          4
     656,     139.3427,         12
     657,     139.5614,          8
     658,     139.7801,         10
     659,     139.9988,         10
     660,     140.2175,         13
     661,     140.4362,         22
     662,     140.6550,         13
     663,     140.8737,         13
     664,     141.0924,         13
     665,     141.3111,          7
     666,     141.5298,         20
     667,     141.7485,         14
     668,     141.9673,         15
     669,     142.1860,         12
     670,     142.4047,          9
     671,     142.6234,         11
     672,     142.8421,          6
     673,     143.0608,          7
     674,     143.2796,          6
     675,     143.4983,         14
     676,     143.7170,         11
     677,     143.9357,         14
     678,     144.1544,         12
     679,     144.3731,         13
     680,     144.5919,          8
     681,     144.8106,         16
     682,     145.0293,         12
     683,     145.2480,         15
     684,     145.4667,          8
     685,     145.6854,          9
     686,     145.9041,          8
     687,     146.1229,          6
     688,     146.3416,         15
     689,     146.5603,          9
     690,     146.7790,         10
     691,     146.9977,         10
     692,     147.2164,         10
     693,     147.4352,          8
     694,     147.6539,          9
     695,     147.8726,         11
     696,     148.0913,         18
     697,     148.3100,         13
     698,     148.5287,         15
     699,     148.7475,         14
     700,     148.9662,          6
     701,     149.1849,          7
     702,     149.4036,         13
     703,     149.6223,         11
     704,     149.8410,          8
     705,     150.0597,          9
     706,     150.2785,          8
     707,     150.4972,          8
     708,     150.7159,          5
     709,     150.9346,         12
     710,     151.1533,         11
     711,     151.3720,         20
     712,     151.5908,         15
     713,     151.8095,         11
     714,     152.0282,         11
     715,     152.2469,         13
     716,     152.4656,          7
     717,     152.6843,         14
     718,     152.9031,          6
     719,     153.1218,         13
